googl,,,,aapl,,,,adbe,,,,Meta,,,,msft,,,,5000       SIMULATIONS      RETURNS        OF      THE       STOCKS,,,,
Date,Price,returns,,Date,Price,returns,,Date,Price,returns,,Date,Price,returns,,Date,Price,returns,,GOOGL,AAPL,ADBE,META,MSFT
03/25/2024,150.07,,,03/25/2024,170.85,,,03/25/2024,507.23,,,03/25/2024,503.02,,,03/25/2024,422.86,,,,,,,
03/26/2024,150.67,0.399813420403805%,,03/26/2024,169.71,-0.667251975417027%,,03/26/2024,507.6,0.0729452122311347%,,03/26/2024,495.89,-1.41743867043059%,,03/26/2024,421.65,-0.286146715224911%,,2.98934389008597%,-0.546567313317811%,-6.1448269766822%,2.21190865528813%,0.351329483647438%
03/27/2024,150.87,0.132740426096789%,,03/27/2024,173.31,2.12126568852748%,,03/27/2024,504.4,-0.630417651694259%,,03/27/2024,493.86,-0.409364980136717%,,03/27/2024,421.43,-0.0521759753349893%,,2.45233834379513%,-1.6132835624334%,-2.33133952692314%,4.11210036738186%,0.457055054719162%
03/28/2024,150.93,0.0397693378405339%,,03/28/2024,171.48,-1.05591137268479%,,03/28/2024,504.6,0.0396510705789055%,,03/28/2024,485.58,-1.6765885068643%,,03/28/2024,420.72,-0.168474005172858%,,1.70816430730465%,-0.371958842790435%,-4.69008916923708%,0.892463168332776%,3.46239454228213%
04/01/2024,155.49,3.02126813754722%,,04/01/2024,170.03,-0.845579659435491%,,04/01/2024,502.09,-0.497423701942146%,,04/01/2024,491.35,1.188269698093%,,04/01/2024,424.57,0.915097927362618%,,-1.25108503523726%,-1.78571619830758%,-0.615224797367905%,1.03813402922901%,-0.888941762253825%
04/02/2024,154.56,-0.598109203164199%,,04/02/2024,168.84,-0.6998764923837%,,04/02/2024,499.21,-0.573602342209567%,,04/02/2024,497.37,1.22519588887757%,,04/02/2024,421.44,-0.737216477848179%,,0.0864036576983624%,-2.16392408474734%,1.17789588976693%,3.71451616671333%,-1.00512286236095%
04/03/2024,154.92,0.232919254658381%,,04/03/2024,169.65,0.479744136460547%,,04/03/2024,497.01,-0.440696300154242%,,04/03/2024,506.74,1.88390936325069%,,04/03/2024,420.45,-0.234908883826879%,,-0.631855850395522%,-0.709831503383647%,-1.00684817621279%,-0.713957828022796%,0.397176612578826%
04/04/2024,150.53,-2.83372063000258%,,04/04/2024,168.82,-0.489242558208081%,,04/04/2024,487.11,-1.99191163155671%,,04/04/2024,510.92,0.824880609385481%,,04/04/2024,417.88,-0.611249851349738%,,1.17508117112802%,1.18679780124572%,2.25466349601913%,-4.3385348772611%,1.94787633246168%
04/05/2024,152.5,1.30870922739652%,,04/05/2024,169.58,0.450183627532286%,,04/05/2024,485.12,-0.408531953768143%,,04/05/2024,527.34,3.213810381273%,,04/05/2024,425.52,1.82827606011295%,,1.53774614510197%,0.99614843296019%,-1.80938497367089%,-1.90656660504125%,-1.96273754359858%
04/08/2024,154.85,1.54098360655737%,,04/08/2024,168.45,-0.666352164170314%,,04/08/2024,484.28,-0.173153034300799%,,04/08/2024,519.25,-1.53411461296318%,,04/08/2024,424.59,-0.218556119571345%,,-0.0971423044888102%,-0.346667852014971%,-3.40595917107157%,1.33737413201862%,-0.657632420228623%
04/09/2024,156.6,1.13012592831774%,,04/09/2024,169.67,0.72425051944196%,,04/09/2024,492.55,1.70768976625093%,,04/09/2024,516.9,-0.452575830524804%,,04/09/2024,426.28,0.398031041710833%,,-0.653687883611798%,-0.784046870948179%,-1.93589058553569%,-2.08319517641694%,-0.839765836314753%
04/10/2024,156.14,-0.29374201787995%,,04/10/2024,167.78,-1.11392703483232%,,04/10/2024,487.22,-1.08212364226982%,,04/10/2024,519.83,0.566840781582534%,,04/10/2024,423.26,-0.708454536924086%,,1.43729726864076%,0.0962737075370701%,1.5268584874675%,-2.87314332431344%,-0.253567280281977%
04/11/2024,159.41,2.0942743691559%,,04/11/2024,175.04,4.32709500536417%,,04/11/2024,484.28,-0.603423504782241%,,04/11/2024,523.16,0.640594040359344%,,04/11/2024,427.93,1.10334073619052%,,-0.289738741882779%,3.28342346775227%,0.580694067068614%,0.408457290071424%,-3.10153236192316%
04/12/2024,157.73,-1.05388620538235%,,04/12/2024,176.55,0.862659963436929%,,04/12/2024,474.09,-2.10415462129346%,,04/12/2024,511.9,-2.15230522211178%,,04/12/2024,421.9,-1.40910896641975%,,0.576011163744021%,0.559100150546%,0.14972845911495%,-1.36554376818477%,0.984335033173593%
04/15/2024,154.86,-1.81956507956633%,,04/15/2024,172.69,-2.1863494760691%,,04/15/2024,470.1,-0.841612352085042%,,04/15/2024,500.23,-2.27974213713615%,,04/15/2024,413.64,-1.95780990756104%,,1.01013816066611%,-0.135135315413902%,-0.957893345680392%,1.87991485030776%,0.158199112833327%
04/16/2024,154.4,-0.297042489990962%,,04/16/2024,169.38,-1.916729399502%,,04/16/2024,476.22,1.3018506700702%,,04/16/2024,499.76,-0.0939567798812546%,,04/16/2024,414.58,0.227250749443963%,,-0.051995490500524%,-0.396061208260863%,-1.92208480397794%,2.53423355402712%,1.08795615799697%
04/17/2024,155.47,0.693005181347139%,,04/17/2024,168,-0.814736096351398%,,04/17/2024,474.45,-0.371676956028733%,,04/17/2024,494.17,-1.1185368977109%,,04/17/2024,411.84,-0.660909836460999%,,-0.940272233664672%,2.19392168390862%,0.247891337310598%,0.13803246098529%,0.256961290302613%
04/18/2024,156.01,0.347333890782786%,,04/18/2024,167.04,-0.571428571428578%,,04/18/2024,473.18,-0.267678364421964%,,04/18/2024,501.8,1.54400307586458%,,04/18/2024,404.27,-1.83809246309247%,,-3.18865980304401%,1.34896841946179%,-1.85771399865926%,1.84129792746335%,0.84835699533479%
04/19/2024,154.09,-1.23069034036279%,,04/19/2024,165,-1.22126436781609%,,04/19/2024,465.02,-1.72450230356314%,,04/19/2024,481.07,-4.1311279394181%,,04/19/2024,399.12,-1.27390110569668%,,1.32071857168101%,3.3461955762848%,1.45751081464038%,-2.20476013583623%,0.504268594386639%
04/22/2024,156.28,1.42124732299305%,,04/22/2024,165.84,0.509090909090904%,,04/22/2024,466.89,0.402133241581004%,,04/22/2024,481.73,0.137194171326427%,,04/22/2024,400.96,0.461014231308865%,,0.286342634008423%,-2.95102597492785%,1.74988608058188%,3.00750978846144%,1.73275183019974%
04/23/2024,158.26,1.26695674430508%,,04/23/2024,166.9,0.639170284611668%,,04/23/2024,472.9,1.2872411060421%,,04/23/2024,496.1,2.98299877524755%,,04/23/2024,407.57,1.64854349561054%,,-1.31298813807905%,2.06272214055857%,0.781071491331814%,-4.93126899672274%,-0.435228841636847%
04/24/2024,159.13,0.549728295210405%,,04/24/2024,169.02,1.27022168963451%,,04/24/2024,477.12,0.892366250792986%,,04/24/2024,493.5,-0.524087885506963%,,04/24/2024,409.06,0.365581372524959%,,-1.06196527089198%,-2.50516969101184%,-0.403682914653591%,-2.54815313594276%,0.815240203663362%
04/25/2024,156,-1.96694526487777%,,04/25/2024,169.89,0.514731984380523%,,04/25/2024,473.44,-0.771294433266267%,,04/25/2024,441.38,-10.5612968591692%,,04/25/2024,399.04,-2.44951840805749%,,0.755498535910449%,0.39993999468016%,-1.98356500160055%,0.269402267355686%,-0.330609103256851%
04/26/2024,171.95,10.224358974359%,,04/26/2024,169.3,-0.347283536405896%,,04/26/2024,477.56,0.870226427847243%,,04/26/2024,443.29,0.432733698853594%,,04/26/2024,406.32,1.82437850842021%,,1.60614571959204%,-0.0333998117881636%,0.877732290401634%,1.196861212938%,2.94870222021036%
04/29/2024,166.15,-3.37307356789763%,,04/29/2024,173.5,2.48080330773774%,,04/29/2024,473.07,-0.940195996314597%,,04/29/2024,432.62,-2.40700218818382%,,04/29/2024,402.25,-1.00167355778696%,,1.81962802001091%,-0.810605208115592%,-2.39574197724854%,2.46763217245994%,-0.157632826939137%
04/30/2024,162.78,-2.02828769184472%,,04/30/2024,170.33,-1.82708933717578%,,04/30/2024,462.83,-2.16458452237512%,,04/30/2024,430.17,-0.566316860061944%,,04/30/2024,389.33,-3.21193287756371%,,-1.00228599392682%,3.18503084327882%,-1.68063933836496%,-4.11392441350495%,-2.0740540114154%
05/01/2024,163.86,0.663472171028379%,,05/01/2024,169.3,-0.604708507015794%,,05/01/2024,469.39,1.41736706782187%,,05/01/2024,439.19,2.09684543320083%,,05/01/2024,394.94,1.44093699432359%,,1.02441508361174%,-1.65405010980617%,1.28896995279168%,0.763215147262317%,0.688650245808477%
05/02/2024,166.62,1.68436470157451%,,05/02/2024,173.03,2.20318960425281%,,05/02/2024,476.57,1.52964485822025%,,05/02/2024,441.68,0.566952799471765%,,05/02/2024,397.84,0.734288752721923%,,2.13633756341321%,0.506202550716306%,3.81619376592157%,1.62437433892395%,-1.20447254350331%
05/03/2024,167.24,0.372104189172973%,,05/03/2024,183.38,5.98162168410101%,,05/03/2024,486.18,2.01649285519441%,,05/03/2024,451.96,2.32747690635753%,,05/03/2024,406.66,2.21697164689323%,,-0.105583425673865%,0.209507332020425%,0.00536985443643572%,-0.744425776092616%,-2.08982274885331%
05/06/2024,168.1,0.514231045204494%,,05/06/2024,181.71,-0.910677282146355%,,05/06/2024,493.59,1.52412686659262%,,05/06/2024,465.68,3.03566687317462%,,05/06/2024,413.54,1.69183101362318%,,-2.27442385912027%,0.169391260167597%,3.75172023092837%,2.83555728758497%,2.14424425661055%
05/07/2024,171.25,1.87388459250446%,,05/07/2024,182.4,0.379725936932473%,,05/07/2024,492.27,-0.267428432504713%,,05/07/2024,468.24,0.549733722728063%,,05/07/2024,409.34,-1.01562122164726%,,2.84361063798618%,1.09928437084163%,-4.20923884931029%,-0.545596359209499%,-1.84327574771118%
05/08/2024,169.38,-1.09197080291971%,,05/08/2024,182.74,0.186403508771926%,,05/08/2024,488.1,-0.847096105795597%,,05/08/2024,472.6,0.931146420638984%,,05/08/2024,410.54,0.293154834611831%,,0.371217671196489%,-0.987675128587616%,1.63765430321555%,1.93188307301758%,0.750760580236732%
05/09/2024,169.96,0.342425315857842%,,05/09/2024,184.57,1.00142278647257%,,05/09/2024,482.65,-1.11657447244418%,,05/09/2024,475.42,0.596699111299204%,,05/09/2024,412.32,0.433575291080035%,,-1.151747348319%,-1.83374184422174%,-4.19620707616643%,0.883962220764731%,-0.997988206275278%
05/10/2024,168.65,-0.770769592845377%,,05/10/2024,183.05,-0.823535785880691%,,05/10/2024,482.29,-0.07458821091888%,,05/10/2024,476.2,0.1640654579109%,,05/10/2024,414.74,0.586922778424537%,,-3.63670960864057%,1.22919505923391%,-1.23202366339551%,0.731628556459791%,-1.21724993401593%
05/13/2024,169.14,0.290542543729599%,,05/13/2024,186.28,1.7645452062278%,,05/13/2024,483.11,0.170022185821805%,,05/13/2024,468.01,-1.71986560268794%,,05/13/2024,413.72,-0.245937213676028%,,0.640143074262996%,2.19355667463149%,2.4763324799639%,-1.27822928308754%,0.288897012131694%
05/14/2024,170.34,0.709471443774401%,,05/14/2024,187.43,0.61735022546705%,,05/14/2024,475.95,-1.48206412618245%,,05/14/2024,471.85,0.820495288562206%,,05/14/2024,416.56,0.686454606980558%,,2.38957361428863%,-0.42210582590475%,-3.81322739476575%,2.2004022782361%,-0.0415737188271563%
05/15/2024,172.51,1.27392274274978%,,05/15/2024,189.72,1.22178946806808%,,05/15/2024,485.35,1.9749973736737%,,05/15/2024,481.54,2.05361873476741%,,05/15/2024,423.08,1.56520069137698%,,1.34563056333756%,-0.754591621123043%,-2.9421453375179%,-1.40641798551905%,1.14812369679685%
05/16/2024,174.18,0.968059822618983%,,05/16/2024,189.84,0.0632511068943797%,,05/16/2024,482.88,-0.508911095086029%,,05/16/2024,473.23,-1.72571333637912%,,05/16/2024,420.99,-0.493996407298847%,,1.14360387787767%,-2.48795035246282%,-0.537303206946754%,1.3828686519513%,-1.21161442397819%
05/17/2024,176.06,1.07934320817544%,,05/17/2024,189.87,0.0158027812894979%,,05/17/2024,483.43,0.113899933730943%,,05/17/2024,471.91,-0.278934133508013%,,05/17/2024,420.21,-0.185277560037067%,,1.91692724259997%,-0.528051476891883%,1.37306688573504%,0.166985396697754%,0.470076428676924%
05/20/2024,176.92,0.488469839827332%,,05/20/2024,191.04,0.616211091799657%,,05/20/2024,484.69,0.260637527666874%,,05/20/2024,468.84,-0.650547773939958%,,05/20/2024,425.34,1.2208181623474%,,1.90668748674492%,-1.58705821216802%,0.0366018045830205%,0.064631284520749%,-1.91027371611656%
05/21/2024,177.85,0.525661315848969%,,05/21/2024,192.35,0.685720268006707%,,05/21/2024,481.85,-0.58594152963749%,,05/21/2024,464.63,-0.897960924835761%,,05/21/2024,429.04,0.869892321436971%,,2.98802456419682%,-1.06131955518683%,3.10512957100135%,-1.66941349505243%,0.962373512924511%
05/22/2024,176.38,-0.826539218442512%,,05/22/2024,190.9,-0.753834156485567%,,05/22/2024,483.93,0.431669606724072%,,05/22/2024,467.78,0.6779588059316%,,05/22/2024,430.52,0.34495618124184%,,-1.21374193188592%,3.33787385025219%,-2.10017087237053%,0.7674680200762%,0.0228910261517336%
05/23/2024,173.55,-1.60449030502323%,,05/23/2024,186.88,-2.10581456259823%,,05/23/2024,483.31,-0.128117702973574%,,05/23/2024,465.78,-0.427551413057425%,,05/23/2024,427,-0.817615906345814%,,0.515487476370737%,2.32044231793359%,-3.04706835356336%,-1.20495624403089%,0.649216869816117%
05/24/2024,174.99,0.829732065687128%,,05/24/2024,189.98,1.65881849315068%,,05/24/2024,475.43,-1.63042353768803%,,05/24/2024,478.22,2.67078878440468%,,05/24/2024,430.16,0.740046838407493%,,2.33769246707452%,2.04835354838185%,2.99046450725136%,-1.2427848828112%,-0.376797379543292%
05/28/2024,176.4,0.805760329161664%,,05/28/2024,189.99,0.00526371196969411%,,05/28/2024,478.43,0.631007719327759%,,05/28/2024,479.92,0.355484923257077%,,05/28/2024,430.32,0.0371954621536164%,,1.28771291523785%,0.480546385324389%,0.957789420125478%,2.14437650697326%,-0.625209486334241%
05/29/2024,175.9,-0.283446712018143%,,05/29/2024,190.29,0.157903047528807%,,05/29/2024,477.6,-0.173484104257671%,,05/29/2024,474.36,-1.15852642107018%,,05/29/2024,429.17,-0.267242981966898%,,-2.35037567678362%,2.17463823605815%,-0.827472779382057%,1.35542203845%,-0.0881349739152267%
05/30/2024,172.11,-2.15463331438317%,,05/30/2024,191.29,0.525513689631607%,,05/30/2024,445.87,-6.64363484087103%,,05/30/2024,467.05,-1.5410236950839%,,05/30/2024,414.67,-3.37861453503274%,,0.597697936487475%,-1.08534962770283%,3.99073662561997%,-1.3310289839057%,-0.274898410641045%
05/31/2024,172.5,0.226599267910044%,,05/31/2024,192.25,0.501855821004771%,,05/31/2024,444.76,-0.248951488101912%,,05/31/2024,466.83,-0.0471041644363623%,,05/31/2024,415.13,0.110931584151253%,,1.44037930047484%,0.447720251297971%,-0.266235075709217%,1.54817111639715%,-0.814782484572471%
06/03/2024,173.17,0.388405797101443%,,06/03/2024,194.03,0.925877763328997%,,06/03/2024,439.02,-1.29058368558324%,,06/03/2024,477.49,2.28348649401282%,,06/03/2024,413.52,-0.387830318213578%,,-0.387795118454824%,0.892845438089291%,0.716385346591771%,0.381079695507929%,0.464053920201309%
06/04/2024,173.79,0.358029681815553%,,06/04/2024,194.35,0.164922950059276%,,06/04/2024,448.37,2.12974351965742%,,06/04/2024,476.99,-0.104714234853087%,,06/04/2024,416.07,0.616656993615794%,,2.292951049594%,1.61458547776246%,-1.19914282839876%,-1.3382781862685%,-0.106063182961654%
06/05/2024,175.41,0.932159502848262%,,06/05/2024,195.87,0.782094160020597%,,06/05/2024,455.8,1.65711354461717%,,06/05/2024,495.06,3.78833937818404%,,06/05/2024,424.01,1.90833273247291%,,1.91508431068118%,-1.14116908159333%,-0.948824318240631%,1.43716687310881%,-0.39268144489353%
06/06/2024,176.73,0.752522661193766%,,06/06/2024,194.48,-0.709654362587442%,,06/06/2024,458.13,0.511189118034228%,,06/06/2024,493.76,-0.26259443299802%,,06/06/2024,424.52,0.120280182071175%,,2.26766543123766%,-1.54388863778458%,-0.135066932321916%,-0.723606644487441%,0.103629243543365%
06/07/2024,174.46,-1.28444519889095%,,06/07/2024,196.89,1.2392019744961%,,06/07/2024,465.43,1.59343417807174%,,06/07/2024,492.96,-0.162022034996767%,,06/07/2024,423.85,-0.157825308583803%,,2.3075915887536%,0.387661823980303%,-3.8178841859294%,2.80757169899284%,2.96934564777878%
06/10/2024,175.01,0.315258511979821%,,06/10/2024,193.12,-1.91477474732084%,,06/10/2024,459.94,-1.17955439056356%,,06/10/2024,502.6,1.95553391755925%,,06/10/2024,427.87,0.948448743659314%,,-0.29622458906481%,0.838950117692811%,-1.46559472870302%,-0.231437808510329%,2.3972690074096%
06/11/2024,176.62,0.919947431575352%,,06/11/2024,207.15,7.26491300745651%,,06/11/2024,462.69,0.597904074444489%,,06/11/2024,507.47,0.968961400716273%,,06/11/2024,432.68,1.12417323018674%,,-0.235541695090279%,-0.173982388450624%,-2.48440106103228%,-0.0939923188665343%,-0.332484108922859%
06/12/2024,177.79,0.662439134865811%,,06/12/2024,213.07,2.85783248853486%,,06/12/2024,459.87,-0.609479349024178%,,06/12/2024,508.84,0.269966697538759%,,06/12/2024,441.06,1.93676620134973%,,2.26055041842906%,0.0191053198561646%,-0.610758620059183%,2.63607655421786%,-0.0667663046819041%
06/13/2024,175.16,-1.47927329996063%,,06/13/2024,214.24,0.549115314215998%,,06/13/2024,458.74,-0.245721616978711%,,06/13/2024,504.1,-0.931530540051872%,,06/13/2024,441.58,0.117897791683674%,,-2.43151625919537%,-1.7605114913159%,-3.21152275794015%,-3.44296784179539%,0.075744829289623%
06/14/2024,176.79,0.930577757478868%,,06/14/2024,212.49,-0.816840926064222%,,06/14/2024,525.31,14.511487988839%,,06/14/2024,504.16,0.0119024003173873%,,06/14/2024,442.57,0.224194936364874%,,1.13068881346249%,0.522501955432235%,-4.95454013636672%,1.30207437825174%,-1.34649488560295%
06/17/2024,177.24,0.25453928389616%,,06/17/2024,216.67,1.96715139535977%,,06/17/2024,518.74,-1.25069006872132%,,06/17/2024,506.63,0.489923833703587%,,06/17/2024,448.37,1.31052714824773%,,-2.27921468359093%,1.207117862642%,-4.20099991399942%,-2.12610484060985%,-1.9443048602693%
06/18/2024,175.09,-1.21304445948996%,,06/18/2024,214.29,-1.09844463931323%,,06/18/2024,522.25,0.676639549678071%,,06/18/2024,499.49,-1.40931251603734%,,06/18/2024,446.34,-0.452751076120173%,,1.11044245768484%,-0.187670867497211%,-0.533151592169239%,-0.16767678232825%,0.888548378146054%
06/20/2024,176.3,0.691073162373645%,,06/20/2024,209.68,-2.15129030752718%,,06/20/2024,522.95,0.134035423647694%,,06/20/2024,501.7,0.442451300326319%,,06/20/2024,445.7,-0.143388448268134%,,-1.54771254150109%,-2.4627610570615%,1.23143838467865%,-1.32921062829602%,-0.482043626860277%
06/21/2024,179.63,1.88882586500283%,,06/21/2024,207.49,-1.04444868370851%,,06/21/2024,533.44,2.00592790897791%,,06/21/2024,494.78,-1.37931034482759%,,06/21/2024,449.78,0.915413955575506%,,0.104944600369075%,0.145086799156003%,-0.0479630197793029%,3.21294550326539%,1.59430401241693%
06/24/2024,179.25,-0.211545955575343%,,06/24/2024,209.11,0.780760518579204%,,06/24/2024,524.03,-1.7640221955609%,,06/24/2024,494.93,0.0303165043049614%,,06/24/2024,447.81,-0.4379919071546%,,0.279058243671819%,-1.1368643338807%,1.6358778839352%,-2.11415888876217%,0.292599924791707%
,,,,,,,,,,,,,,,,,,,,-0.228226398351286%,-0.382211709627259%,-0.364740631851784%,1.23495499974704%,0.986171241649671%
,,,,,,,,,,,,,,,,,,,,1.0773440953868%,2.14509756338632%,2.81272313316526%,-1.51938800704566%,-2.24449413953706%
mean:,0.00302094131474369,,,mean:,0.340974663182434%,,,mean:,0.0778579803422072%,,,mean:,-0.00472453655453238%,,,mean:,0.0994058165395214%,,,1.43053524391673%,-0.178160706960307%,-1.30390672353251%,-1.69586520581639%,-0.307638624400318%
std dev:,0.0177920465099184,,,std dev:,1.73611788022777%,,,std dev:,2.32495732744349%,,,std dev:,2.05530345370092%,,,std dev:,1.18146151056449%,,,-1.20981239522411%,-0.192371842509069%,4.05334292252214%,1.02941242732719%,-1.67998593775876%
,,,,,,,,,,,,,,,,,,,,-1.2726610006359%,0.612927050466923%,4.34516731338191%,2.10461995664646%,1.49191086894217%
,,,,,,,,,,,,,,,,,,,,0.530312731653139%,-1.87491903638646%,-1.21628430579263%,-0.725200645581807%,-0.402623974430073%
,,,,,,,,,,,,,,,,,,,,-0.0188793258170946%,2.48902575404433%,-4.74068881013501%,-1.28159954957842%,-0.985628999131567%
,,,,,,,,,,,,,,,,,,,,2.51310962826461%,-1.43926046619164%,1.05385447353977%,2.372308334126%,-1.18337439619796%
,,,,,,,,,,,,,,,,,,,,3.35818377594773%,0.255842812774729%,-3.25063706896981%,1.00716037376938%,0.699726180452961%
,,,,,,,,,,,,,,,,,,,,0.832466034281868%,-0.300643825435623%,-3.17549574406847%,-4.75368517198443%,1.17318577469348%
,,,,,,,,,,,,,,,,,,,,-1.46534688756864%,3.39087561258412%,0.0764509056927344%,2.09148584373774%,-1.50405885732292%
,,,,,,,,,,,,,,,,,,,,1.49951106275718%,0.0370142775541728%,0.082479200085568%,-1.09827433458173%,-0.592085255341342%
,,,,,,,,,,,,,,,,,,,,2.30957573928463%,-3.11075863611523%,-0.881991295394928%,4.23651428756862%,-0.583790242958801%
,,,,,,,,,,,,,,,,,,,,-0.833494600474166%,0.112017967032453%,0.663286121029162%,-2.53003789640587%,0.989820516059104%
,,,,,,,,,,,,,,,,,,,,0.344794499495104%,1.52307396135663%,-1.36651385401192%,-3.1982952211459%,-0.850996202442504%
,,,,,,,,,,,,,,,,,,,,1.29307253442197%,3.09256453805404%,0.0207734024709027%,-0.0887787791853637%,-1.21638348204567%
,,,,,,,,,,,,,,,,,,,,-0.776138598283034%,-3.66250840884737%,-0.522233559077615%,-0.65499536979527%,0.319966563715311%
,,,,,,,,,,,,,,,,,,,,0.488284313144337%,1.32620025857341%,-0.525804208667271%,-0.960814319528515%,-0.668046847984372%
,,,,,,,,,,,,,,,,,,,,1.08291267933941%,-2.88713278064355%,0.974376757783702%,-0.953326189591065%,1.10025564340049%
,,,,,,,,,,,,,,,,,,,,0.501166603393797%,1.77921146242215%,1.8544539785573%,-0.97360087770692%,0.298523096958792%
,,,,,,,,,,,,,,,,,,,,-1.09149780059493%,1.2961610523205%,-0.891775731388717%,-1.83829824907451%,1.41667530382379%
,,,,,,,,,,,,,,,,,,,,1.20202840630966%,-1.04636103792648%,-1.6274694996815%,2.01632052144013%,0.335481734319354%
